Line;KM;Stop name;Befestigung text;Befestigung Auswahl;Type of display;Mounted on;Lighting;Second hand;EIGENTuMER;ANTEIL EIGENTUM;EIGENTuMER GRUPPE;IH-EA;IH-TC;FID;Geopos
850;117.479;Eschlikon TG;Seitlich;Seitlich;Beidseitig;Gebaeude;ja;ja;SBB Infrastruktur;100;SBB;Ost > Winterthur;Ost > Zurich;244113127;47.46146834811842,8.958104596909115
850;121.013;Guntershausen;Stehend;Stehend;Beidseitig;Ausruestungsstaender Andere;ja;ja;Migration ausstehend;100;unbekannt;Ost > Winterthur;Ost > Zurich;38852389;47.474449715290085,8.916359346976812
850;126.153;Elgg;Haengend;Haengend;Beidseitig;;ja;ja;SBB Infrastruktur;100;SBB;Ost > Winterthur;Ost > Zurich;142171863;47.498676678186946,8.863377725007062
852;14.316;Hauptwil;Seitlich;Seitlich;Beidseitig;Ausruestungsstaender Kippstander;ja;ja;SBB Infrastruktur;100;SBB;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;232445549;47.47695752085335,9.250789289364507
852;22.946;Gossau SG;Haengend;Haengend;Beidseitig;Dach_BE Hausperrondach;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38850314;47.41179583837082,9.253063099796853
852;22.946;Gossau SG;Stehend;Stehend;Beidseitig;;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38850318;47.41192402766124,9.25346024563896
853;30.948;Kaltbrunn;Seitlich;Seitlich;Beidseitig;Ausruestungsstaender Kombistander;ja;ja;Migration ausstehend;100;unbekannt;Ost > Rapperswil;Ost > Zurich;38849308;47.21781429234192,9.022810160598508
853;34.372;Uznach;Haengend;Haengend;Beidseitig;Dach_BE PD1 Perron 1;ja;ja;Migration ausstehend;100;unbekannt;Ost > Rapperswil;Ost > Zurich;38858062;47.22424272211719,8.980879214239915
853;34.387;Uznach;Haengend;Haengend;Beidseitig;Dach_BE Dach Bushof;ja;ja;Migration ausstehend;100;unbekannt;Ost > Rapperswil;Ost > Zurich;38856884;47.22447672684948,8.980613859936014
880;15.862;Buchs SG;Seitlich;Seitlich;Beidseitig;;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38851638;47.16832735390034,9.478504358501791
880;15.918;Buchs SG;Seitlich;Seitlich;Beidseitig;Ausruestungsstaender Kandelaber >6m;ja;ja;SBB Infrastruktur;100;SBB;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;242792533;47.16879106892426,9.478203262539607
880;57.805;Rheineck;Seitlich;Seitlich;Beidseitig;Mast 32;ja;ja;SBB Infrastruktur;100;SBB;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38853308;47.46675279714006,9.591347866443192
880;64.919;Rorschach;Seitlich;Seitlich;Beidseitig;Ausruestungsstaender Kombistander;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38856647;47.4778191975514,9.506805289933213
880;65.014;Rorschach;Haengend;Haengend;Beidseitig;Dach_BE PD Zwi. Perron 2;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38857186;47.477860804356496,9.505521398867478
880;66.275;Rorschach Stadt;Seitlich;Seitlich;Beidseitig;;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38853503;47.47557442750399,9.48932584825777
880;67.978;Goldach;Haengend;Haengend;Beidseitig;Dach_BE PD Perron 1;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38858650;47.4739156496852,9.467042120969882
880;78.198;St. Gallen St. Fiden;Haengend;Haengend;Beidseitig;Dach_BE PD Perron 1 (AG);ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38850378;47.434438540645296,9.392901471314753
890;0.197;Sargans;Haengend;Haengend;Beidseitig;Dach_BE PD Perron 1;ja;ja;SBB Konzern;100;SBB;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38858428;47.044627128948136,9.445696047353334
890;2.52;Mels;Stehend;Stehend;Beidseitig;Ausruestungsstaender Andere;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38850045;47.05378929510969,9.418241744476177
890;9.723;Flums;Haengend;Haengend;Beidseitig;Gebaeude;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38850010;47.096565266575986,9.347984005779244
890;9.745;Flums;Haengend;Haengend;Beidseitig;Dach_BE PD Zwischenperron;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38850016;47.096811782217166,9.347952607514575
890;21.232;Murg;Haengend;Haengend;Beidseitig;Dach_BE PD Zwischenperron;nein;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38861390;47.113309092388974,9.2148533907291
